layer_col,dimension,dimension_cn,mean,median,std
rule_dormant_candidate,topic_public_value_score,主题公共价值,0.7727460246024602,0.7958333333333333,0.1046342274282048
rule_dormant_candidate,semantic_clarity_score,语义清晰度,0.7269626900808892,0.7508869636963696,0.1425782165055229
rule_dormant_candidate,data_richness_score,数据丰富度,0.41346646584509406,0.4002174657025092,0.16651764553969464
rule_dormant_candidate,machine_readability_score,机器可读性,0.910927092709271,1.0,0.20642854291106863
rule_dormant_candidate,timeliness_score,时效性,0.5406889651229274,0.4586949685534591,0.2000788989222686
rule_dormant_candidate,spatiotemporal_capability_score,时空能力,0.7476912691269126,0.7749999999999999,0.14893027906642178
rule_dormant_candidate,combinability_score,可组合性,0.6932055806988383,0.7112551633673841,0.12102797463040185
rule_candidate_model_enhanced_top20,topic_public_value_score,主题公共价值,0.7321188340807174,0.7250000000000001,0.10711446663732618
rule_candidate_model_enhanced_top20,semantic_clarity_score,语义清晰度,0.6692249774304785,0.6890882838283827,0.13927460652595022
rule_candidate_model_enhanced_top20,data_richness_score,数据丰富度,0.4447618105057141,0.4295409464054951,0.17406367633066774
rule_candidate_model_enhanced_top20,machine_readability_score,机器可读性,0.8114798206278028,1.0,0.26922320405189387
rule_candidate_model_enhanced_top20,timeliness_score,时效性,0.653193198804185,0.5752987421383647,0.2608486479518664
rule_candidate_model_enhanced_top20,spatiotemporal_capability_score,时空能力,0.7647757847533632,0.7749999999999999,0.14935128173847867
rule_candidate_model_enhanced_top20,combinability_score,可组合性,0.6896680822749601,0.6751598659416539,0.11479649187683057
strict_model_residual_candidate,topic_public_value_score,主题公共价值,0.7208333333333333,0.7208333333333333,
strict_model_residual_candidate,semantic_clarity_score,语义清晰度,0.6053011551155116,0.6053011551155116,
strict_model_residual_candidate,data_richness_score,数据丰富度,0.7330242731657611,0.7330242731657611,
strict_model_residual_candidate,machine_readability_score,机器可读性,0.8300000000000001,0.8300000000000001,
strict_model_residual_candidate,timeliness_score,时效性,0.6030660377358491,0.6030660377358491,
strict_model_residual_candidate,spatiotemporal_capability_score,时空能力,0.985,0.985,
strict_model_residual_candidate,combinability_score,可组合性,0.7532042006265679,0.7532042006265679,
multi_model_strict_residual_any,topic_public_value_score,主题公共价值,0.6708333333333332,0.7208333333333333,0.12764561401700325
multi_model_strict_residual_any,semantic_clarity_score,语义清晰度,0.5009529702970298,0.5766707920792079,0.15238782770352757
multi_model_strict_residual_any,data_richness_score,数据丰富度,0.46595167417976413,0.508697692636574,0.19898069350279055
multi_model_strict_residual_any,machine_readability_score,机器可读性,0.8160000000000001,0.8300000000000001,0.2371286570619418
multi_model_strict_residual_any,timeliness_score,时效性,0.5935125786163522,0.5942610062893082,0.2293455065574864
multi_model_strict_residual_any,spatiotemporal_capability_score,时空能力,0.7429999999999999,0.7749999999999999,0.16679328523654663
multi_model_strict_residual_any,combinability_score,可组合性,0.5811101999316693,0.5785692471281633,0.16408420338300322
