layer_col,score,count,mean,median,p25,p75,min,max
rule_dormant_candidate,ActualUse_type_percentile,1111,0.23736572286366034,0.2433889340927583,0.0874080484638684,0.37591951536131546,0.0022717438338381,0.4993897477624084
rule_dormant_candidate,PotentialUse_CRITIC_percentile,1111,0.8617430985157432,0.8654995282524374,0.7884998427508125,0.9448055351714018,0.7008072124960688,0.9998951672083028
rule_dormant_candidate,DormantScore_rule,1111,0.6243773756520827,0.603725937824857,0.45521800012472147,0.7633407382360574,0.3002400918297724,0.9726319957573338
rule_dormant_candidate,ExpectedUse_model_percentile,1111,0.24893924029157294,0.2513890344899884,0.06599224237341436,0.40287241849250444,0.0006289967501834,0.7392808470489569
rule_dormant_candidate,DormantScore_model,1111,0.011573517427912577,0.0042849439652625,-0.02161614967527905,0.048749654742890405,-0.4594989101426928,0.3581140558092404
rule_candidate_model_enhanced_top20,ActualUse_type_percentile,223,0.2940869332271868,0.3150151449588922,0.22252271743833835,0.3703213995117982,0.0022717438338381,0.4971521562245728
rule_candidate_model_enhanced_top20,PotentialUse_CRITIC_percentile,223,0.8366235003152035,0.8311143725757417,0.7603522381801027,0.9004612642834678,0.701331376454555,0.9998951672083028
rule_candidate_model_enhanced_top20,DormantScore_rule,223,0.5425365670880167,0.5424142684850536,0.4481501499275083,0.6173483364213088,0.3087166738986223,0.9149288612693672
rule_candidate_model_enhanced_top20,ExpectedUse_model_percentile,223,0.4109273847227126,0.4364189118356222,0.33525526784778276,0.47966243841073486,0.1050424572806373,0.7392808470489569
rule_candidate_model_enhanced_top20,DormantScore_model,223,0.1168404514955257,0.1037102640856589,0.07937409028792661,0.13539245793046378,0.0630410798681717,0.3581140558092404
strict_model_residual_candidate,ActualUse_type_percentile,1,0.3489831241886629,0.3489831241886629,0.3489831241886629,0.3489831241886629,0.3489831241886629,0.3489831241886629
strict_model_residual_candidate,PotentialUse_CRITIC_percentile,1,0.943914456441975,0.943914456441975,0.943914456441975,0.943914456441975,0.943914456441975,0.943914456441975
strict_model_residual_candidate,DormantScore_rule,1,0.5949313322533121,0.5949313322533121,0.5949313322533121,0.5949313322533121,0.5949313322533121,0.5949313322533121
strict_model_residual_candidate,ExpectedUse_model_percentile,1,0.7070971799979033,0.7070971799979033,0.7070971799979033,0.7070971799979033,0.7070971799979033,0.7070971799979033
strict_model_residual_candidate,DormantScore_model,1,0.3581140558092404,0.3581140558092404,0.3581140558092404,0.3581140558092404,0.3581140558092404,0.3581140558092404
multi_model_strict_residual_any,ActualUse_type_percentile,5,0.38080772116516365,0.4337876322213181,0.3489831241886629,0.4720900043271311,0.1621592384249242,0.4870186066637819
multi_model_strict_residual_any,PotentialUse_CRITIC_percentile,5,0.6462102945801446,0.7088793374567565,0.594716427298459,0.9150854387252332,0.0684558129782996,0.943914456441975
multi_model_strict_residual_any,DormantScore_rule,5,0.265402573414981,0.4429954343981022,0.107697820634677,0.5467200990318322,-0.3653318192430185,0.5949313322533121
multi_model_strict_residual_any,ExpectedUse_model_percentile,5,0.6727539574378866,0.7070971799979033,0.7023797043715274,0.7391760142572597,0.4355802495020442,0.7795366390606981
multi_model_strict_residual_any,DormantScore_model,5,0.29194623627272287,0.27342101107712,0.2685920721502093,0.2925180323969162,0.2670860099301285,0.3581140558092404
