数据领域,count,share
民生服务,2049,0.21477987421383649
经济建设,1544,0.16184486373165619
城市建设,1370,0.14360587002096437
教育科技,775,0.08123689727463312
卫生健康,623,0.06530398322851153
公共安全,557,0.05838574423480084
资源环境,538,0.05639412997903564
文化休闲,515,0.053983228511530396
机构团体,468,0.04905660377358491
道路交通,326,0.03417190775681342
社会发展,308,0.03228511530398323
信用服务,207,0.02169811320754717
工业制造,78,0.008176100628930818
社保就业,76,0.007966457023060796
农业农村,71,0.007442348008385744
气象服务,29,0.003039832285115304
绿色低碳,6,0.0006289308176100629
