detail_spatial_scope,count,share
本市,3058,0.32054507337526206
虹口区,671,0.07033542976939203
徐汇区,630,0.0660377358490566
黄浦区,597,0.06257861635220126
宝山区,569,0.05964360587002097
青浦区,527,0.05524109014675052
浦东新区,508,0.053249475890985325
嘉定区,506,0.0530398322851153
普陀区,423,0.04433962264150943
闵行区,394,0.04129979035639413
长宁区,345,0.036163522012578615
金山区,291,0.03050314465408805
崇明区,274,0.028721174004192874
静安区,269,0.02819706498951782
奉贤区,207,0.02169811320754717
杨浦区,145,0.01519916142557652
松江区,126,0.013207547169811321
