数据领域,full_count,main_count,full_share,main_share,share_diff_main_minus_full
民生服务,2059,2049,0.2102522209741652,0.21477987421383649,0.004527653239671275
经济建设,1573,1544,0.1606249361789033,0.16184486373165619,0.0012199275527528808
城市建设,1448,1370,0.14786071683855814,0.14360587002096437,-0.004254846817593777
教育科技,787,775,0.08036352496681302,0.08123689727463312,0.0008733723078201
卫生健康,631,623,0.06443377923006229,0.06530398322851153,0.0008702039984492399
文化休闲,600,515,0.061268252833656695,0.053983228511530396,-0.007285024322126299
公共安全,561,557,0.05728581639946901,0.05838574423480084,0.001099927835331832
资源环境,543,538,0.05544776881445931,0.05639412997903564,0.0009463611645763315
机构团体,478,468,0.04881037475747983,0.04905660377358491,0.0002462290161050762
道路交通,330,326,0.03369753905851118,0.03417190775681342,0.00047436869830223827
社会发展,309,308,0.0315531502093332,0.03228511530398323,0.000731965094650032
信用服务,214,207,0.021852343510670887,0.02169811320754717,-0.00015423030312371883
工业制造,78,78,0.00796487286837537,0.008176100628930818,0.00021122776055544808
社保就业,76,76,0.007760645358929848,0.007966457023060796,0.00020581166413094834
农业农村,71,71,0.007250076585316042,0.007442348008385744,0.0001922714230697016
气象服务,29,29,0.0029612988869600733,0.003039832285115304,7.853339815523056e-05
绿色低碳,6,6,0.0006126825283365669,0.0006289308176100629,1.6248289273495956e-05
