,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,update_recency_days_clean
ActualUse_type_percentile,1.0,0.12671689646364417,-0.6423071486920413,-0.1491560608295666,-0.4120586063741446,-0.02615950321499385,0.10293034594390028,-0.03982894800065084,0.4768328284781787,0.2077325575548478,0.09939195908280513,-0.15524292537769807,0.1260859067118899,0.12500237247590978,0.11554463728712354
PotentialUse_CRITIC_percentile,0.12671689646364417,1.0,0.6420781439274473,0.2988988244343721,0.3187929350251232,0.11576216872761191,0.609173968120294,0.09659094781598296,0.4510368662988747,0.5449723329068629,0.6094529502249597,0.18216753232276828,0.058772603344790696,0.1616355330312868,-0.06778259450362155
DormantScore_rule,-0.6423071486920413,0.6420781439274473,1.0,0.3176232742451944,0.5387032951451952,0.09338548221480433,0.35901150483849265,0.09266287775002897,-0.01599693596080795,0.22565736656020205,0.36055806606299473,0.24635295507979676,-0.05686896894560822,0.01994027398227774,-0.1295276520299486
topic_public_value_score,-0.1491560608295666,0.2988988244343721,0.3176232742451944,1.0,0.39906143227584406,-0.02595250940790385,0.03635307011924429,-0.0036237760745171156,0.05081800873023186,0.06238331012109141,0.038350290181912175,0.009634431331624784,-0.05238241820441211,-0.05594429453210051,-0.045674539497830895
semantic_clarity_score,-0.4120586063741446,0.3187929350251232,0.5387032951451952,0.39906143227584406,1.0,-0.015333084771141406,-0.016228725333437836,0.03167614296349252,-0.24185005814683416,-0.07804631975533427,-0.012952946097365428,0.03200017465297656,-0.08460437673436484,-0.05878243856941299,-0.1678644455999669
data_richness_score,-0.02615950321499385,0.11576216872761191,0.09338548221480433,-0.02595250940790385,-0.015333084771141406,1.0,-0.4286677604503032,0.5902187623020798,0.045055261905140136,0.5372635304681845,-0.43122518550700106,0.8403184508785957,0.5342017048617866,0.4191820451673753,-0.5141597206256103
machine_readability_score,0.10293034594390028,0.609173968120294,0.35901150483849265,0.03635307011924429,-0.016228725333437836,-0.4286677604503032,1.0,-0.4653726253427306,0.16881718585490788,0.12641354173893746,0.9982861409752077,-0.3221064618435228,-0.11920452782421724,0.06925189996509623,0.41603893372825307
timeliness_score,-0.03982894800065084,0.09659094781598296,0.09266287775002897,-0.0036237760745171156,0.03167614296349252,0.5902187623020798,-0.4653726253427306,1.0,-0.05516159569310162,0.28589165558020274,-0.46545747921158764,0.506740697089864,0.14867571300499915,-0.02340602844170901,-0.8158764801485672
spatiotemporal_capability_score,0.4768328284781787,0.4510368662988747,-0.01599693596080795,0.05081800873023186,-0.24185005814683416,0.045055261905140136,0.16881718585490788,-0.05516159569310162,1.0,0.43563274442967437,0.16710877918130748,0.11753779453188204,0.040745660654375515,0.07745007258175109,0.16230254006383205
combinability_score,0.2077325575548478,0.5449723329068629,0.22565736656020205,0.06238331012109141,-0.07804631975533427,0.5372635304681845,0.12641354173893746,0.28589165558020274,0.43563274442967437,1.0,0.1259614278612995,0.48724476385896176,0.1103953209552689,0.08857993468401053,-0.2262443767594994
format_count_clean,0.09939195908280513,0.6094529502249597,0.36055806606299473,0.038350290181912175,-0.012952946097365428,-0.43122518550700106,0.9982861409752077,-0.46545747921158764,0.16710877918130748,0.1259614278612995,1.0,-0.3235728833243542,-0.12140049699086748,0.06803549808456832,0.416052691311227
field_count_clean,-0.15524292537769807,0.18216753232276828,0.24635295507979676,0.009634431331624784,0.03200017465297656,0.8403184508785957,-0.3221064618435228,0.506740697089864,0.11753779453188204,0.48724476385896176,-0.3235728833243542,1.0,0.15943554295027795,0.10952219637286621,-0.41858128966848207
record_count_log_winsor_p99,0.1260859067118899,0.058772603344790696,-0.05686896894560822,-0.05238241820441211,-0.08460437673436484,0.5342017048617866,-0.11920452782421724,0.14867571300499915,0.040745660654375515,0.1103953209552689,-0.12140049699086748,0.15943554295027795,1.0,0.8709186931205033,-0.1278975489295322
data_size_log_winsor_p99,0.12500237247590978,0.1616355330312868,0.01994027398227774,-0.05594429453210051,-0.05878243856941299,0.4191820451673753,0.06925189996509623,-0.02340602844170901,0.07745007258175109,0.08857993468401053,0.06803549808456832,0.10952219637286621,0.8709186931205033,1.0,0.02503530309432088
update_recency_days_clean,0.11554463728712354,-0.06778259450362155,-0.1295276520299486,-0.045674539497830895,-0.1678644455999669,-0.5141597206256103,0.41603893372825307,-0.8158764801485672,0.16230254006383205,-0.2262443767594994,0.416052691311227,-0.41858128966848207,-0.1278975489295322,0.02503530309432088,1.0
