model,fold,n,r2,mae,rmse,spearman_corr,spearman_p,pearson_corr,pearson_p,best_iteration
CatBoostRegressor,1,1908,0.9024058712943013,0.062405994129834795,0.09025903684689779,0.9482650830006606,0.0,0.9499535803860678,0.0,899.0
CatBoostRegressor,2,1908,0.9127029733056292,0.05860378948577223,0.0862123536635364,0.9539466656776435,0.0,0.955432302975408,0.0,898.0
CatBoostRegressor,3,1908,0.9175887458371862,0.058257752061081025,0.08108304923230131,0.9571124678316992,0.0,0.9579412833209247,0.0,899.0
CatBoostRegressor,4,1908,0.9141108913192637,0.05973168023029259,0.08464264584616171,0.9546807676706958,0.0,0.9561357879108426,0.0,899.0
CatBoostRegressor,5,1908,0.9154515274753003,0.06116909351921789,0.08452762497859147,0.9565948965128196,0.0,0.9569881246272419,0.0,899.0
Ridge,1,1908,0.8345215110220329,0.08641878105455508,0.11753023988754839,0.9127083346041264,0.0,0.9137460603212009,0.0,
Ridge,2,1908,0.8586252357439226,0.07992271743464902,0.10971240180929756,0.9252922716285296,0.0,0.9267242020340842,0.0,
Ridge,3,1908,0.8518199250154952,0.07985689965736367,0.1087255756990644,0.9210415039107379,0.0,0.9229686079447996,0.0,
Ridge,4,1908,0.8587889111303502,0.08008799333625016,0.10853119465569283,0.9285926652946842,0.0,0.9267499741778765,0.0,
Ridge,5,1908,0.8697035008407388,0.07821293185440698,0.1049330163698284,0.9351911973577935,0.0,0.932725196680583,0.0,
RandomForest,1,1908,0.9074264190297744,0.059324414317168186,0.08790678178597695,0.951153319760471,0.0,0.9529387886164531,0.0,
RandomForest,2,1908,0.9179670978977779,0.0566308188592822,0.08357258080070866,0.9572620651557702,0.0,0.9585220853325194,0.0,
RandomForest,3,1908,0.9202868181943208,0.055691639735689455,0.0797447100191059,0.9590641288455967,0.0,0.9596268070094753,0.0,
RandomForest,4,1908,0.9196051131644858,0.057060596580757086,0.0818906647852694,0.9585548522951977,0.0,0.9594314922552878,0.0,
RandomForest,5,1908,0.9195474693499462,0.05772926520458845,0.08245474222316862,0.959478911704947,0.0,0.9598907696342248,0.0,
HistGradientBoosting,1,1908,0.908341978620179,0.05835985265226601,0.08747099932845895,0.9511840200811683,0.0,0.9530702167007619,0.0,
HistGradientBoosting,2,1908,0.9181027300547991,0.05531039550233874,0.08350346329829024,0.9566986058036988,0.0,0.9582169796215199,0.0,
HistGradientBoosting,3,1908,0.9235753074761971,0.05412363624850195,0.0780824911913518,0.9605619986114269,0.0,0.9610494608671329,0.0,
HistGradientBoosting,4,1908,0.9194533086977855,0.05600314878346524,0.08196794274647429,0.9576104262949017,0.0,0.9589099055285859,0.0,
HistGradientBoosting,5,1908,0.9206006621301583,0.05632011484225615,0.08191326255133767,0.9594347975112041,0.0,0.9595922779096806,0.0,
LightGBM,1,1908,0.9077686795070371,0.05875893323093382,0.08774412804869419,0.9509826940267274,0.0,0.9527694687454198,0.0,
LightGBM,2,1908,0.9180233969900456,0.055326231457355074,0.08354389799256967,0.9566038330555123,0.0,0.9581764930205211,0.0,
LightGBM,3,1908,0.9253375589104021,0.053722065662891214,0.07717700187511427,0.9614623157033669,0.0,0.9619796698085717,0.0,
LightGBM,4,1908,0.9186165896937086,0.05628003934162455,0.08239258428343038,0.9571519201181065,0.0,0.9584710864260696,0.0,
LightGBM,5,1908,0.9219347473526198,0.05560967738299953,0.08122218497415601,0.9599670811610131,0.0,0.9602852591072643,0.0,
XGBoost,1,1908,0.9083785047229574,0.059043998686484286,0.08745356881321532,0.9512423430207468,0.0,0.9530951986045951,0.0,
XGBoost,2,1908,0.9199137698183203,0.05532188102215015,0.08257502261908652,0.9575714684074026,0.0,0.9591574807325807,0.0,
XGBoost,3,1908,0.9244342451298606,0.05456250183357901,0.07764246650545674,0.961042119725379,0.0,0.961499969882632,0.0,
XGBoost,4,1908,0.9184467010335502,0.05685147441823095,0.08247853711029843,0.9571894625263122,0.0,0.9583667857823865,0.0,
XGBoost,5,1908,0.9213936252263111,0.056801912619066516,0.08150320129816632,0.9597625135924801,0.0,0.9600518005716423,0.0,
