metric_a,metric_b,top_pct,top_n,overlap_count,overlap_rate
PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,0.01,96,84,0.875
PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,0.05,477,435,0.9119496855345912
PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,0.1,954,805,0.8438155136268344
PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,0.2,1908,1521,0.7971698113207547
PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,0.3,2862,2287,0.7990915443745632
PotentialUse_CRITIC_percentile,PotentialUse_entropy_percentile,0.01,96,76,0.7916666666666666
PotentialUse_CRITIC_percentile,PotentialUse_entropy_percentile,0.05,477,388,0.8134171907756813
PotentialUse_CRITIC_percentile,PotentialUse_entropy_percentile,0.1,954,779,0.8165618448637316
PotentialUse_CRITIC_percentile,PotentialUse_entropy_percentile,0.2,1908,1401,0.7342767295597484
PotentialUse_CRITIC_percentile,PotentialUse_entropy_percentile,0.3,2862,2154,0.7526205450733753
