original_feature,importance,encoded_feature_count
数据资源提供部门,0.16834584,71
recommended_names_suspicious_flag,0.11847234,1
detail_time_scope,0.10477554,126
开放条件,0.09934637,575
publication_age_days_clean,0.09346344,1
detail_spatial_scope,0.071549244,17
数据资源类型,0.065054886,2
has_meaningful_time_scope,0.036655575,1
is_data_product,0.03624766,1
数据领域,0.027379252,17
maintenance_span_days_clean,0.025457688,1
is_unconditional_open,0.023720097,1
spatial_admin_level,0.020830052,4
is_conditional_open,0.016158992,1
is_data_interface,0.016103985,1
更新频率,0.013809759,9
api_need_apply_clean,0.009872022,1
has_csv_clean,0.007292367,1
recommended_dataset_count_clean,0.006668926,1
update_recency_days_clean,0.0055745803,1
date_order_anomaly,0.005176028,1
has_rdf_clean,0.0040390287,1
开放属性,0.0032558376,2
format_count_clean,0.0029359097,1
field_description_count_clean,0.0022736914,1
data_size_log_winsor_p99,0.0015088622,1
has_data_sample,0.0014927648,1
title_len,0.0013058534,1
description_len,0.0012505417,1
record_count_log_winsor_p99,0.0011645497,1
low_field_count_flag,0.0010581373,1
has_standard_field_description,0.0010158896,1
has_geo_field_strict,0.0009740817,1
description_has_field_hint,0.0008914217,1
field_count_clean,0.00081017474,1
has_xlsx_clean,0.00076399074,1
has_xml_clean,0.00072930934,1
has_json_clean,0.00068922894,1
suspicious_field_names_flag,0.0006863468,1
scene_keyword_count,0.0006587734,1
has_time_field_strict,0.00054101535,1
type_code,0.0,2
数据资源状态,0.0,1
