feature,value,mean_prediction
publication_age_days_clean,80.0,0.26580682396888733
publication_age_days_clean,136.0,0.3182203471660614
publication_age_days_clean,163.0,0.3016343116760254
publication_age_days_clean,180.0,0.2956814765930176
publication_age_days_clean,194.0,0.3012520968914032
publication_age_days_clean,217.0,0.3666316270828247
publication_age_days_clean,227.0,0.36299943923950195
publication_age_days_clean,277.0,0.40572163462638855
publication_age_days_clean,285.0,0.4087492525577545
publication_age_days_clean,318.27,0.3989071846008301
publication_age_days_clean,339.0,0.39947956800460815
publication_age_days_clean,405.73,0.44939571619033813
publication_age_days_clean,524.0,0.6547287106513977
publication_age_days_clean,880.0,0.6722586154937744
publication_age_days_clean,1539.3600000000006,0.7023257613182068
publication_age_days_clean,1812.6499999999999,0.7214695811271667
publication_age_days_clean,1984.0,0.7193036675453186
publication_age_days_clean,2096.0,0.7195032835006714
publication_age_days_clean,2304.68,0.7188016772270203
publication_age_days_clean,2317.0,0.7212337851524353
publication_age_days_clean,3055.3,0.7327008843421936
maintenance_span_days_clean,0.0,0.4895392656326294
maintenance_span_days_clean,18.180000000000035,0.47489944100379944
maintenance_span_days_clean,75.22499999999985,0.4764554500579834
maintenance_span_days_clean,115.0,0.47409626841545105
maintenance_span_days_clean,134.0,0.4811386168003082
maintenance_span_days_clean,174.0,0.48258110880851746
maintenance_span_days_clean,197.515,0.48293742537498474
maintenance_span_days_clean,263.3399999999999,0.47946232557296753
maintenance_span_days_clean,274.0,0.48693332076072693
maintenance_span_days_clean,316.0,0.4876488447189331
maintenance_span_days_clean,352.8250000000004,0.5049533247947693
maintenance_span_days_clean,543.0,0.5102496147155762
maintenance_span_days_clean,1165.6500000000083,0.5268887281417847
maintenance_span_days_clean,1441.080000000001,0.5342260003089905
maintenance_span_days_clean,1762.825,0.5331290364265442
maintenance_span_days_clean,1907.0,0.5439913868904114
maintenance_span_days_clean,2082.0,0.544760525226593
maintenance_span_days_clean,2254.599999999998,0.5475680828094482
maintenance_span_days_clean,2309.485,0.5580099821090698
maintenance_span_days_clean,2830.0499999999993,0.5721631050109863
api_need_apply_clean,0.0,0.5071468353271484
api_need_apply_clean,1.0,0.4937426745891571
is_unconditional_open,0.0,0.494226336479187
is_unconditional_open,1.0,0.5067745447158813
is_data_interface,0.0,0.47737088799476624
is_data_interface,1.0,0.5254011750221252
format_count_clean,2.0,0.5000131726264954
format_count_clean,2.589999999999918,0.5000131726264954
format_count_clean,4.0,0.5035796165466309
format_count_clean,5.0,0.5083217620849609
field_description_count_clean,0.0,0.49263572692871094
field_description_count_clean,2.0,0.5068737268447876
field_description_count_clean,4.0,0.5079590678215027
field_description_count_clean,5.0,0.506759762763977
field_description_count_clean,6.0,0.506668746471405
field_description_count_clean,8.0,0.5069559216499329
field_description_count_clean,12.0,0.5090638399124146
field_description_count_clean,16.0,0.5091517567634583
field_description_count_clean,20.0,0.509123682975769
field_description_count_clean,24.0,0.508858859539032
field_description_count_clean,28.0,0.5087882280349731
field_description_count_clean,36.0,0.5095441937446594
field_description_count_clean,44.0,0.5107012391090393
field_description_count_clean,52.0,0.5064375996589661
field_description_count_clean,64.0,0.5064671039581299
field_description_count_clean,84.0,0.4931671917438507
field_description_count_clean,112.19999999999982,0.4912099838256836
update_recency_days_clean,2.0,0.5042377710342407
update_recency_days_clean,7.0,0.5050710439682007
update_recency_days_clean,12.0,0.5028140544891357
update_recency_days_clean,17.0,0.5049000978469849
update_recency_days_clean,26.0,0.4984365403652191
update_recency_days_clean,43.0,0.4983518719673157
update_recency_days_clean,98.81499999999971,0.49836429953575134
update_recency_days_clean,160.0,0.4960593581199646
update_recency_days_clean,181.0,0.495970219373703
update_recency_days_clean,209.0,0.4962150752544403
update_recency_days_clean,213.0,0.49617239832878113
update_recency_days_clean,216.0,0.4967336654663086
update_recency_days_clean,217.0,0.49520087242126465
update_recency_days_clean,220.0,0.49524107575416565
update_recency_days_clean,221.0,0.49365681409835815
update_recency_days_clean,223.0,0.5092937350273132
update_recency_days_clean,334.0,0.5106420516967773
