original_feature,mean_abs_shap,mean_signed_shap,encoded_feature_count
数据资源提供部门,0.45929056,0.06968946,71
开放条件,0.30279133,-0.059250046,575
数据领域,0.17745923,0.14142023,17
detail_time_scope,0.14346378,-0.036677968,126
publication_age_days_clean,0.1268848,0.011557075,1
detail_spatial_scope,0.054843273,0.030878006,17
is_conditional_open,0.02603842,-0.02603842,1
更新频率,0.024238262,0.009929024,9
maintenance_span_days_clean,0.017429765,0.006690483,1
spatial_admin_level,0.01685146,0.011451242,4
is_data_interface,0.015949467,0.015949467,1
field_description_count_clean,0.015330733,0.007841593,1
update_recency_days_clean,0.014190165,0.0029362242,1
description_len,0.008408049,0.0040405956,1
title_len,0.0073619545,0.0015366283,1
record_count_log_winsor_p99,0.006572822,0.0015159571,1
format_count_clean,0.0054598707,0.0047264863,1
has_geo_field_strict,0.0054298434,0.0054298434,1
field_count_clean,0.0045801406,0.0023369608,1
has_meaningful_time_scope,0.00437249,0.00437249,1
data_size_log_winsor_p99,0.00386172,0.0010964307,1
is_unconditional_open,0.003504753,0.0035047296,1
scene_keyword_count,0.0027101077,-0.00013887628,1
recommended_names_suspicious_flag,0.00267123,0.0024950483,1
is_data_product,0.0025540993,-0.0025527773,1
api_need_apply_clean,0.002366129,0.00034110434,1
has_time_field_strict,0.0015626323,-0.0014849321,1
recommended_dataset_count_clean,0.0013438289,0.0010516358,1
suspicious_field_names_flag,0.0010117638,0.0009363531,1
date_order_anomaly,0.000840036,-0.00020821398,1
has_rdf_clean,0.000539932,-3.1488107e-05,1
数据资源类型,0.0005109253,-0.0005109253,2
开放属性,0.00049064594,-0.00028534085,2
has_csv_clean,0.00048121015,-0.00048121015,1
has_xlsx_clean,0.0004789176,0.00046107892,1
description_has_field_hint,0.0003753398,-0.0002475837,1
has_data_sample,0.0002477095,-0.0002477095,1
has_json_clean,0.00013062471,0.00013062471,1
low_field_count_flag,8.751014e-05,8.751014e-05,1
has_standard_field_description,5.6526835e-05,5.6526835e-05,1
has_xml_clean,4.4978173e-05,-4.4978173e-05,1
type_code,0.0,0.0,2
数据资源状态,0.0,0.0,1
